  PSNR-Y       PSNR-U       PSNR-V       MSE-Y        MSE-U        MSE-V        SSIM-Y       SSIM-U       SSIM-V       SSIM-ALL     DMOS         MOS         
  17.59    29.95    34.23    1132.93    65.80    24.54    0.35    0.77    0.85    0.50    44.65    55.35  
  17.75    29.82    34.08    1091.28    67.76    25.39    0.35    0.77    0.84    0.50    44.65    55.35  
  17.75    29.82    34.07    1091.76    67.81    25.49    0.35    0.77    0.84    0.50    44.65    55.35  
  17.80    29.78    34.12    1079.94    68.45    25.18    0.37    0.77    0.85    0.51    44.65    55.35  
  17.79    29.79    34.18    1080.52    68.24    24.82    0.37    0.77    0.85    0.51    44.65    55.35  
  18.06    29.62    33.93    1015.73    71.00    26.31    0.38    0.78    0.85    0.53    44.65    55.35  
  18.06    29.30    33.56    1016.40    76.32    28.66    0.39    0.78    0.85    0.53    44.65    55.35  
  18.02    29.21    33.69    1026.76    78.08    27.81    0.40    0.79    0.85    0.54    44.65    55.35  
  18.02    29.19    33.69    1026.63    78.33    27.80    0.40    0.79    0.85    0.54    44.65    55.35  
  18.14    29.99    33.91    997.26    65.19    26.41    0.39    0.79    0.85    0.54    44.65    55.35  
  18.43    30.42    34.21    933.09    59.01    24.66    0.42    0.78    0.84    0.55    44.65    55.35  
  18.51    30.77    34.36    916.38    54.43    23.84    0.42    0.79    0.85    0.55    44.65    55.35  
  18.51    30.77    34.38    917.31    54.47    23.74    0.42    0.79    0.85    0.55    44.65    55.35  
  18.50    30.16    33.83    918.97    62.73    26.92    0.41    0.78    0.84    0.54    44.65    55.35  
  18.48    30.02    33.70    922.77    64.76    27.71    0.41    0.78    0.84    0.54    44.65    55.35  
  18.48    30.03    33.70    922.90    64.62    27.75    0.41    0.78    0.84    0.54    44.65    55.35  
  18.48    30.01    33.69    923.34    64.84    27.83    0.41    0.78    0.84    0.54    44.65    55.35  
  18.26    29.71    33.70    971.46    69.56    27.72    0.41    0.78    0.84    0.55    44.65    55.35  
  18.20    29.45    33.42    983.32    73.85    29.59    0.41    0.78    0.84    0.54    44.65    55.35  
  18.29    29.71    33.47    963.18    69.54    29.22    0.39    0.78    0.84    0.53    44.65    55.35  
  18.15    28.08    32.51    995.29    101.11    36.49    0.38    0.77    0.83    0.52    44.65    55.35  
