ÐòºÅ	TCPÁ÷ÐòºÅ	TCPÊý¾Ý¶ÎÐòºÅ	ÑÓÊ±	¶¶¶¯
382	2	2755404252	0.000770	0.000009
383	2	2755407172	0.001488	0.000718
384	2	2755415932	0.000772	0.000716
385	2	2755420312	0.001045	0.000273
386	2	2755429072	0.000801	0.000244
387	2	2755434912	0.001545	0.000744
388	2	2755443672	0.001443	0.000102
389	2	2755453892	0.001223	0.000220
390	2	2755458272	0.001182	0.000041
391	2	2755465572	0.000743	0.000439
392	2	2755472872	0.000742	0.000001
393	2	2755477252	0.001349	0.000607
394	2	2755490392	0.000747	0.000602
395	2	2755494772	0.000756	0.000009
396	2	2755499152	0.001673	0.000917
397	2	2755507912	0.003565	0.001892
398	2	2755522512	0.003259	0.000306
399	2	2755537112	0.006426	0.003167
400	2	2755551712	0.004169	0.002257
401	2	2755566312	0.000018	0.004151
402	2	2755569232	0.001528	0.001510
403	2	2755572152	0.001876	0.000348
404	2	2755580912	0.000763	0.001113
405	2	2755589672	0.000778	0.000015
406	2	2755595512	0.000777	0.000001
407	2	2755604272	0.000777	0.000000
408	2	2755613032	0.000778	0.000001
409	2	2755621792	0.000760	0.000018
410	2	2755630552	0.000793	0.000033
411	2	2755634932	0.001837	0.001044
412	2	2755636392	0.001635	0.000202
413	2	2755639312	0.003219	0.001584
414	2	2755643692	0.001511	0.001708
415	2	2755648072	0.001484	0.000027
416	2	2755655372	0.002466	0.000982
417	2	2755662672	0.001512	0.000954
418	2	2755668512	0.000759	0.000753
419	2	2755672892	0.000778	0.000019
420	2	2755677272	0.000758	0.000020
421	2	2755680192	0.001189	0.000431
422	2	2755687492	0.000777	0.000412
423	2	2755693332	0.000759	0.000018
424	2	2755700632	0.001211	0.000452
425	2	2755710852	0.000782	0.000429
426	2	2755718152	0.000780	0.000002
427	2	2755725452	0.001176	0.000396
428	2	2755734212	0.001046	0.000130
429	2	2755738592	0.001559	0.000513
430	2	2755747352	0.001944	0.000385
431	2	2755756112	0.000780	0.001164
432	2	2755764872	0.001621	0.000841
433	2	2755770712	0.000760	0.000861
434	2	2755775092	0.000773	0.000013
435	2	2755779472	0.001358	0.000585
436	2	2755791152	0.001481	0.000123
437	2	2755795532	0.000841	0.000640
438	2	2755805752	0.002873	0.002032
439	2	2755820352	0.002600	0.000273
440	2	2755829112	0.002289	0.000311
441	2	2755839332	0.000848	0.001441
442	2	2755843712	0.002360	0.001512
443	2	2755855392	0.000825	0.001535
444	2	2755861232	0.002330	0.001505
445	2	2755875832	0.000010	0.002320
446	2	2755878752	0.003659	0.003649
447	2	2755891892	0.001597	0.002062
448	2	2755893352	0.003676	0.002079
449	2	2755905032	0.003902	0.000226
450	2	2755919632	0.000010	0.003892
451	2	2755922552	0.001347	0.001337
452	2	2755935692	0.001156	0.000191
453	2	2755938612	0.000781	0.000375
454	2	2755953212	0.000773	0.000008
455	2	2755956132	0.000772	0.000001
456	2	2755957592	0.002103	0.001331
457	2	2755969272	0.001527	0.000576
458	2	2755980952	0.002191	0.000664
459	2	2755995552	0.000010	0.002181
460	2	2755998472	0.000745	0.000735
461	2	2756001392	0.001033	0.000288
462	2	2756013072	0.000778	0.000255
463	2	2756020372	0.001865	0.001087
464	2	2756021832	0.001298	0.000567
465	2	2756024752	0.000066	0.001232
466	2	2756034972	0.000944	0.000878
467	2	2756040812	0.000774	0.000170
468	2	2756046652	0.000885	0.000111
469	2	2756052492	0.000874	0.000011
470	2	2756058332	0.000773	0.000101
471	2	2756067092	0.000776	0.000003
472	2	2756074392	0.000781	0.000005
473	2	2756080232	0.001463	0.000682
474	2	2756086072	0.001894	0.000431
475	2	2756096292	0.000778	0.001116
476	2	2756099212	0.001529	0.000751
477	2	2756107972	0.000763	0.000766
478	2	2756116732	0.001733	0.000970
479	2	2756131332	0.017355	0.015622
480	2	2756141552	0.000763	0.016592
481	2	2756150312	0.001179	0.000416
482	2	2756160532	0.000759	0.000420
483	2	2756164912	0.002158	0.001399
484	2	2756179512	0.001313	0.000845
485	2	2756195572	0.000765	0.000548
486	2	2756201412	0.000764	0.000001
487	2	2756210172	0.000746	0.000018
488	2	2756214552	0.001224	0.000478
489	2	2756229152	0.002243	0.001019
490	2	2756242292	0.000800	0.001443
491	2	2756246672	0.000969	0.000169
492	2	2756258352	0.000779	0.000190
493	2	2756264192	0.000776	0.000003
494	2	2756270032	0.000770	0.000006
495	2	2756275872	0.000768	0.000002
496	2	2756278792	0.001179	0.000411
